,route_id,metric,distribution,parameters
0,Blue,trip_diff,cauchy,"{'loc': -51.699789284931185, 'scale': 9.442272734768178}"
1,Blue,dist_diff,cauchy,"{'loc': 47.953949010539915, 'scale': 25.70862367142113}"
2,Blue,avg_speed_diff,lognorm,"{'s': 0.651479382859578, 'loc': 0.9676543481795519, 'scale': 1.7340953443291753}"
3,Green,trip_diff,cauchy,"{'loc': 39.05721508649374, 'scale': 52.554497120245685}"
4,Green,dist_diff,norm,"{'loc': 9258.494231367347, 'scale': 3111.399485581232}"
5,Green,avg_speed_diff,chi2,"{'df': 200.18259298303133, 'loc': -3.08399123035219, 'scale': 0.04032215611757531}"
6,Mattapan,trip_diff,lognorm,"{'s': 0.17741444232406434, 'loc': -301.7631031561465, 'scale': 343.8002346111683}"
7,Mattapan,dist_diff,norm,"{'loc': -109.12704023725853, 'scale': 155.92986499142413}"
8,Mattapan,avg_speed_diff,lognorm,"{'s': 0.39682508518919485, 'loc': 4.151339096315022, 'scale': 4.444171358647214}"
9,Orange,trip_diff,cauchy,"{'loc': -42.86085197118966, 'scale': 11.230107556113465}"
10,Orange,dist_diff,cauchy,"{'loc': -98.97525962641225, 'scale': 98.57708150198391}"
11,Orange,avg_speed_diff,lognorm,"{'s': 0.6555449407634394, 'loc': -1.5949914874632158, 'scale': 2.6653539170716867}"
12,Red,trip_diff,cauchy,"{'loc': -88.05396793593783, 'scale': 19.14444917739453}"
13,Red,dist_diff,cauchy,"{'loc': -227.900299624499, 'scale': 142.2220620808336}"
14,Red,avg_speed_diff,cauchy,"{'loc': 0.8874835512325943, 'scale': 1.0177385444734075}"
